Food-Name,"Energy-
-kJ","Protein-
-g","Fat
-g","carbohydrate
-g",sugars-g,"Sodium-Na-
-mg","Zinc-Zn-
-mg","Folate
-ug","Pyridoxine-B6-
-mg","Cobalamin-B12-
-ug","Vitamin-D3
-ug","Vitamin-C-
-mg","Vitamin-A
-ug","Iron-Fe-
-mg","Calcium-Ca-
-mg","Selenium-Se-
-ug",per-100g
"Biscuit, savoury, from white wheat flour, flaky cracker style","2,067",11.5,20.7,63.6,3.6,639,0.84,13,0.07,0,0,0,19,1.75,35,12.1,per 100g
"Biscuit, savoury, from wholemeal wheat flour, crispbread","1,567",10.6,8.1,59.1,2,450,1.6,41,0,0,0,0,0,2.3,33,8.6,per 100g
"Biscuit, savoury, from wholemeal wheat flour & rye flour, crispbread, puffed","1,611",14,3.8,69.1,1.5,364,1.6,29,0.18,0,0,0,2,3.2,47,7.8,per 100g
"Biscuit, savoury, corn cake, plain, salted","1,547",9.8,3,71.5,0.4,240,1.5,14,0,0,0,0,0,1.3,3,6.2,per 100g
"Biscuit, savoury, from rye flour, crispbread","1,356",8.8,1.3,60.6,2.8,240,1.8,30,0,0,0,0,0,2.4,38,4.1,per 100g
"Biscuit, savoury, rice cake, from brown rice, plain","1,603",8.8,3.5,76.3,0.8,41,1.8,9,0,0.2,0,0,0,1.3,9,6.4,per 100g
"Biscuit, savoury, seed based","2,395",20.1,49.6,6,1.4,500,5,137,0.04,0,0,0,0,5.9,110,22,per 100g
"Biscuit, sweet, plain","1,812",6.4,14.3,69.4,24.7,289,0.54,21,0.03,0.1,0,6,31,1.28,30,9.4,per 100g
"Biscuit, sweet, Anzac style, homemade from basic ingredients","1,970",4.6,22.4,63.3,41.2,210,0.62,5,0.05,0,0.2,0,97,0.87,15,4.7,per 100g
"Biscuit, sweet, breakfast style, with or without dried fruit","1,701",7.5,15.6,57.3,20.1,270,1.1,53,0,0.1,0,0,0,1.7,30,4.4,per 100g
"Biscuit, sweet, shortbread style, commercial","2,110",6.2,26.3,60.8,20.4,270,0.45,5,0,0,0.1,0,177,0.77,33,8.8,per 100g
"Biscuit, sweet, chocolate chip or coated","1,979",5.8,22.7,61.9,35.8,210,0.7,0,0,0.2,0,2,20,2.7,46,6.2,per 100g
"Biscuit, sweet, cream filled, commercial","1,944",5.4,21.5,62.8,33.6,330,0.48,15,0,0,0,0,4,1.3,30,4.2,per 100g
"Biscuit, sweet, biscuit base, caramel filling, chocolate-coated, commercial","1,843",5.6,19.7,61.8,45.5,180,0.61,15,0,0.1,0,0,38,1.5,82,1.7,per 100g
